t	n	p	v	i
25	1	VDD_PAD_1_8V_IDDQ1V8_-8	1,62E+00	3,10E-03
25	1	VDD_PAD_1_8V_IDDQ1V8_-8	1,80E+00	3,40E-03
25	1	VDD_PAD_1_8V_IDDQ1V8_-8	1,98E+00	4,11E-03
25	1	VDD!_IDDQ1V8_-8	1,62E+00	4,01E-02
25	1	VDD!_IDDQ1V8_-8	1,80E+00	4,90E-02
25	1	VDD!_IDDQ1V8_-8	1,98E+00	6,52E-02
25	1	VDD_DPRAM4KX64_IDDQ1V8_-8	1,62E+00	3,04E+00
25	1	VDD_DPRAM4KX64_IDDQ1V8_-8	1,80E+00	3,60E+00
25	1	VDD_DPRAM4KX64_IDDQ1V8_-8	1,98E+00	4,32E+00
25	1	VDD_ROM8KX64_IDDQ1V8_-8	1,62E+00	1,62E-02
25	1	VDD_ROM8KX64_IDDQ1V8_-8	1,80E+00	2,00E-02
25	1	VDD_ROM8KX64_IDDQ1V8_-8	1,98E+00	2,78E-02
25	1	VDD_SPRAMB2KX18_IDDQ1V8_-8	1,62E+00	7,22E-02
25	1	VDD_SPRAMB2KX18_IDDQ1V8_-8	1,80E+00	8,75E-02
25	1	VDD_SPRAMB2KX18_IDDQ1V8_-8	1,98E+00	1,14E-01
25	1	VDD!_SEP_IDDQ1V8_-8	1,62E+00	1,97E-01
25	1	VDD!_SEP_IDDQ1V8_-8	1,80E+00	2,42E-01
25	1	VDD!_SEP_IDDQ1V8_-8	1,98E+00	3,23E-01
25	1	VDD_PAD_1_8V_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	2,90E-03
25	1	VDD_PAD_1_8V_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	3,43E-03
25	1	VDD_PAD_1_8V_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	4,06E-03
25	1	VDD!_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	4,28E-02
25	1	VDD!_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	5,24E-02
25	1	VDD!_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	6,89E-02
25	1	VDD_DPRAM4KX64_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	3,04E+00
25	1	VDD_DPRAM4KX64_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	3,60E+00
25	1	VDD_DPRAM4KX64_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	4,32E+00
25	1	VDD_ROM8KX64_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	1,61E-02
25	1	VDD_ROM8KX64_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	2,01E-02
25	1	VDD_ROM8KX64_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	2,78E-02
25	1	VDD_SPRAMB2KX18_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	7,93E-02
25	1	VDD_SPRAMB2KX18_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	9,53E-02
25	1	VDD_SPRAMB2KX18_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	1,23E-01
25	1	VDD!_SEP_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	1,94E-01
25	1	VDD!_SEP_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	2,39E-01
